,tickers,company overview
11,011150,"어묵,김,생선구이,유부 등의 수산가공식품 사업을 영위하고 있음. 간편 조리 식품인 생선구이는 '비비고 생선구이(3종)'로 출시되어 2020년 어종 다양화 및 생산 라인 증설을 통한 수산HMR 대형화를 목표로 성장 중. 2023년 지배회사인 CJ제일제당(주)로부터 삼해상사(주) 지분 100%를 인수하여 주력 제품의 생산 역량 강화를 통해 사업 대형화를 추진하고 있음."
12,011155,Company overview not found on the webpage.
13,001045,Company overview not found on the webpage.
14,097950,"설탕, 밀가루, 식용유 등의 소재식품과 햇반, 만두, 피자, 가정 간편식, 육가공 제품 등의 가공식품 사업을 영위하고 있음. 미국 냉동식품 가공업체 'Schwan's Company' 를 인수하고, K-Foods의 글로벌화와 현지화를 위해 '비비고' 브랜드를 국내 및 글로벌 대형 브랜드로 육성하고 있음. 세계 최고 수준의 발효 및 정제 기술을 기반으로 사료첨가제(Animal Nutrition & Health) 사업을 영위하고 있음."
15,097955,Company overview not found on the webpage.
16,000480,2023년 7월 인적분할하여 자회사와 투자회사 지분의 관리 및 신규 투자 등을 목적으로 하는 지주회사로 전환하고 시알홀딩스로 상호를 변경함. 지주회사 전환을 통해 각 사업 부문별 전문성을 강화하고 경영 위험을 분산시키며 더욱 효율적인 의사결정 구조를 구축하여 실행력을 향상시키는 것을 목표로 함. 자회사인 (주)시알아이는 2024년 6월 유동성 확보 및 재무구조 개선을 위해 375억원의 서울 용산구 소재 토지 매각 계약을 체결함.
17,000590,"용접재료 생산 및 판매 등을 영위할 목적으로 1949년 1월 설립되었으며 한국증권거래소(현, 한국거래소)의 승인을 받아 1975년 12월 주권이 상장됨. 2010년 1월 분할 기준일로 투자사업부문을 영위할 존속법인인 CS홀딩스와 인적분할 신설법인인 조선선재(제조사업부 중 피복용접재료부문) 및 물적분할 신설법인인 조선선재온산(FCW용접재료)로 분할함. 부동산임대 사업부분 씨에스로직스가 있으며 해외종속회사에서 용접재료를 생산,판매함."
18,012030,"동사의 사업 부문은 연결대상회사이자 주요종속회사인 디비에프아이에스를 포함하여 크게 IT분야의 SI 및 ITO서비스 중심의 IT사업부문이 있음. 화학 및 철강제품 등의 무역업을 영위하는 무역사업부문, 'DB' 상표권 관리를 비롯해 그룹의 브랜드와 광고 활동을 총괄하는 브랜드사업부문으로 구성되어 있음. 어플리케이션 사업은 고객 비즈니스에 중요한 상품관리, 고객관리, 정보관리 등의 업무를 처리하는 어플리케이션을 안정적으로 운영함."
19,016610,"동사는 DB그룹에 속한 계열회사로서 1982년에 국민투자금융으로 설립되었고, 2017년 11월 동부증권에서 DB금융투자로 상호 변경하였음. 당분기말 현재 국내에 19개 지점(본점 포함)이 있으며, 연결대상 종속회사는 DB자산운용, DB저축은행 등이 있음. 동사가 소속된 DB금융네트워크는 증권(금융투자/자산운용), 보험(손해/생명), 은행(저축은행/캐피탈)의 금융서비스 3대 축으로 체계적인 금융서비스를 제공하고 있음."
20,005830,"1962년 한국자동차보험공영사로 출발하여 2017년 DB손해보험으로 사명을 변경함. 주요 종속회사로 DB생명보험, DB캐피탈이 있음. 업무 효율과 전문성 제고를 위해, 보상 및 대고객 서비스 3개 기능을 분사하여 DB CAS손해사정, DB CSI손해사정, DB CNS 자동차손해사정을 자회사로 출범. 글로벌 초우량 보험사로 발돋움하기 위하여 미국을 해외 거점시장으로 집중 공략하고 중국, 인도네시아, 미얀마 등지에 사무소를 개설함."
21,000990,"DB그룹의 주요계열사인 동사는 1953년 4월 28일에 설립되었으며, 반도체 제조를 주요 사업으로 영위함. 웨이퍼 수탁 생산 및 판매를 담당하는 파운드리 사업과 디스플레이구동칩(DDI) 및 자사 제품을 설계, 판매하는 브랜드 사업을 운영하고 있음. 부천(FAB1)과 상우(FAB2) 두 곳에 공장을 두고 있으며, 해외 영업을 위해 미국법인과 대만, 일본, 중국 지사를 운영하고 있음. 2023년 반도체 설계사업부문을 물적분할함."
22,139130,"2011년 5월 대구은행, 대구신용정보, 카드넷을 공동으로 주식의 포괄적 이전 방식에 의해 설립된 DGB금융그룹의 지주회사임. 주요 사업은 은행업(iM뱅크), 증권업(iM증권), 생명보험업(iM라이프보험), 여신전문금융업(iM캐피탈), 자산운용업(iM에셋자산운용) 등이 있음. 2015년 1월 DGB생명보험의 지분을 98.9% 인수하였으며, 종합적인 자산관리서비스를 제공하기 위해 2018년 10월 하이투자증권을 자회사로 편입함."
23,001530,"동사와 연결대상 종속회사는 섬유소재, 의류, 알루미늄, 플랜트 및 환경, 가구도소매, 화장품 등의 사업을 영위함. 의류 제조 DIB-이집트, 알루미늄 기업 동일알루미늄, 가구 도소매 업체 디아이비즈 등이 연결대상 종속회사임. 인도네시아와 이집트 등에도 연결대상 종속회사를 보유하고 있으며 국내 시화, 반월, 안산 등에 생산시설을 운영함. 일신방직, 경방, 전방 등이 섬유 부문 주요 경쟁사임."
24,000210,"1939년 설립된 동사는 2021년 1월 4일 대림산업의 인적, 물적 분할을 통해 순수 지주회사로 전환함. 2021년 5월 1일 기준 대림에서 'DL'로 변경됨. 토목, 주택, 플랜트 등의 종합건설업을 영위하는 DL이앤씨와 물적분할을 통해 석유화학제품을 생산하는 화합물질 및 화학제품 제조업을 영위하는 DL케미칼을 각각 설립하였음. 현재 브랜드의 사용으로 인한 로열티 수익, 배당수익, 임대수익 등을 주요사업으로 영위하고 있음."
25,000215,Company overview not found on the webpage.
26,375500,"21년 1월 4일자로 인적분할이 된 신설법인 동사는 종합건설업을 맡아 영위하고 있음. 토목공사 건설용역과 철구조물 제작/설치용역 등을 수행하는 토목사업 부문과 주택공사 건설용역, 부동산 관련서비스 등을 제공하는 주택사업 부문, 플랜트공사 건설용역을 수행하는 플랜트 사업 부문으로 구분됨. 동사에 포함된 연결대상 종속기업은 DL건설, 오산랜드마크프로젝트, 인천도화1임대주택위탁관리부동산투자회사 등과 8개의 해외 현지법인임."
27,37550L,Company overview not found on the webpage.
28,37550K,Company overview not found on the webpage.
29,007340,"동사는 1971년 설립되어 자동차용 축전지와 자동차용 부품을 생산 및 판매하는 사업을 영위하고 있음. 방진사업부는 약 30여년동안 전 세계 유수의 자동차 제조업체들을 대상으로 차량용 Vibration Management System을 제조 및 판매함. 공작기계부는 금속 절삭 가공 시장에 참여하고 있으며, 생산처가 있는 한국과 중국은 납기 경쟁력이 높아 당월 수주 및 당월 매출율이 평균 30% 가량 차지함."
30,004840,"동사는 자동차 고무 부품(창고무), 토목건축자재, 면진제진시스템 등을 제공하는 종합고무부품을 영위. 동력 전달에 널리 쓰이는 전동벨트 및 운반라인의 효율성을 극대화 시킬 수 있는 컨베어벨트를 생산하는 산업용 고무제품부문과 의료기기 등을 생산하는 기타부문을 영위함. 자동차, 시멘트, 기계, 건설, 철강 등 실 수요처에 대한 직접영업과 대리점을 통한 유통영업을 병행하고 있음."
31,155660,"동사는 1965년 설립되어 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있음. 동사는 합성섬유로프, 스테인리스 와이어 등을 생산 및 판매하는 한국내 사업부문과 와이어로프 외 철강선 및 합성섬유로프 등을 제조, 판매하는 중국내 사업부문, 베트남내 사업부문이 있음. 또한 합성섬유로프, 스테인리스 와이어, 와이어로프 등을 판매하는 미국내 사업부문이 있음."
32,069730,"동사는 와이어로프 및 경강선 제조 판매 등을 영위할 목적으로 1971년 9월 1일 설립되었으며, 2003년 1월 28일 유가증권시장에 상장함. 동사가 영위하는 선재산업은 타 품목과 달리 전량 선재가공 업체에 가공되어 2차 가공 공정을 거친 다음 강선, 스프링, 와이어로프 등의 최종제품으로 생산됨. 동사 제품인 와이어로프는 주로 건설용, 수사업용, 유전시추용, 광업용도이며 경강선은 각종 스프링용, 압연용, 벌목용도로 주로 사용됨."
33,017860,"1984년 8월 설립하여, 순환경제를 체계화하는 친환경 사업을 영위함. 사업 특성에 따라 바이오에너지, 배터리 리사이클, 플라스틱 리사이클로 운영됨. 바이오에너지 부문은 바이오연료(바이오 디젤/중유/선박유)를 정유사 및 발전소등에 생산/판매 하고, 배터리 리사이클 부문은 전세계 폐납축전지를 수집하고 재생연을 제조/판매함. 플라스틱 리사이클 부문은 납사를 기반으로 석유화학산업의 가공 제품에 들어가는 주요 첨가제를 제조/판매함."
34,017940,"액화 석유 가스(LPG) 유통회사로서 LPG의 수출입, 저장, 운송, 판매 및 부동산 임대업 등을 영위하고 있음. 국내·외 주요 거점별로 10개 판매거점을 구축하여 글로벌 시장 공략을 위한 글로벌 네트워크를 확보하고 있음. 국내 사업장으로는 서울, 부산, 광주, 대구, 대전, 강원에 지사를 갖추고 있으며, 해외 사업장으로는 싱가포르, 휴스턴, 중동, 베트남 등에 지사를 배치하여 유기적 네트워크를 구축하고 있음."
35,365550,Company overview not found on the webpage.
36,383220,"에프앤에프(F&F)는 1992년 창립되어 MLB, 디스커버리 익스페디션 등의 대표 브랜드를 배출한 한국의 패션 기업임. 2021년 5월 인적분할하여 지주회사인 ‘F&F 홀딩스’ 와 패션사업 회사인 ‘F&F’로 나뉘어졌으며, 디지털 트랜스포메이션을 통한 혁신적인 패션 시스템으로 글로벌 브랜드를 육성함. 중국에서의 MLB의 인기를 바탕으로 중국에서의 성장이 지속됨."
37,007700,주식회사 에프앤에프홀딩스는 자회사 및 피투자회사의 지분 관리 및 투자를 목적으로 하는 사업부문을 영위하고 있음. 주요 수입원은 자회사 등으로부터 받는 배당수익과 F&F 브랜드 권리를 소유하며 사용자로부터 상표권 사용수익을 수취하고 있음. 동사의 연결대상 종속회사에 포함된 회사들이 영위하는 사업부문은 국내외의 브랜드 운영 및 투자와 물류서비스로 구분할 수 있음.
38,114090,"동사는 2005년 9월 6일 설립되어 2009년 11월 코스피 시장에 상장됨. 동사는 '외래관광객 유치와 외화획득을 통한 관광수지 개선, 한국 카지노 산업의 국제 경쟁력 제고'를 위해 서울과 부산 총 3곳에 외국인 전용 카지노를 운영하고 있음. 향후 사업확장을 위해 관광숙박업, 국제회의업, 여행업, 골프장 등 체육시설업, 식품접객업, 면세품 판매업과 카지노 부대 등 관련되는 일체의 사업을 통해 수익원을 다각화하고자 노력하고 있음."
39,078930,"동사는 2004년 7월 LG를 인적 분할하여 설립된 지주회사로서, 자회사로 GS에너지, GS리테일, GS스포츠, GS이피에스, GS글로벌, GS이앤알 등이 있음. 사업부문은 가스전력사업, 유통, 무역, 투자 및 기타(호텔업, 프로축구 등)으로 구분됨. 주식의 장부가액이 자산총액의 10% 이상을 차지하는 자회사로 GS에너지(주), (주)GS리테일 2개사가 있음."
40,006360,"동사와 연결회사는 건축·주택사업본부, 신사업본부, 플랜트사업본부, 인프라사업본부, 호주사업본부, 그린사업본부 등 총 6개의 사업본부로 구성되어 있음. 동사는 사무용 빌딩, 생산 시설, 주거 시설, 정유, 석유화학 및 환경 등에 사용되는 설비 등을 건설하는 사업을 영위하고 있음. 연결대상 종속회사에 포함된 회사들이 영위하는 사업으로는 건설업,부가통신업, 건설용역업, 서비스업, 임대업 등이 있음."
41,001250,"1954년 국제무역을 전문으로 하는 금성산업라는 이름으로 설립됨. 1975년에 쌍용으로 상호가 변경되었고, 2009년 GS로 대주주가 변경되며 현재의 상호를 사용함. 철강, 석유화학, 에너지 등의 무역/유통, 수입차 PDI, 하역운송 등의 물류, 정유, 석유화학 및 발전 플랜트 기자재 등의 제조, 전기차, 태양광 기자재, 헬스케어 등의 신사업으로 사업이 구성됨. 해외 주요지역에서 법인, 지사 등 25개의 네트워크를 유지하고 있음."
42,007070,"전력 및 통신용전선과 케이블 판매를 목적으로 1971년 금성전공이라는 사명으로 설립되었으며, 두 차례 상호변경을 거쳐 2005년 GS리테일로 상호를 변경함. 주요 사업은 소매유통업으로 편의점 GS25 등을 운영하며, 부동산 관련 개발 기획, 매각 등 부동산 개발과 상업시설 운영을 전문으로하는 부동산 개발업을 영위하고 있음. Digital Tech 진화, 소비형태 변화 등 경영환경에 대응하기 위하여 GS홈쇼핑과의 합병을 완료함."
43,078935,Company overview not found on the webpage.
44,499790,"동사는 GS리테일에서 호텔사업을 영위하는 파르나스호텔(주) 및 축산물 가공업을 영위하는 (주)후레쉬미트를 인적분할하여 설립됨. 파르나스호텔㈜는 우수한 입지 및 높은 대외 인지도를 바탕으로 그랜드 인터컨티넨탈, 코엑스 인터컨티넨탈 및 프라임 오피스 파르나스 타워 등을 운영하고 있음. 상품 경쟁력 강화를 위해 2020년에는 축산물의 제조, 가공 및 유통을 전문으로 하는 ㈜후레쉬미트를 설립함."
45,012630,"2018년 05월 01일 인적분할 방법으로 HDC현대산업개발(주)를 신설하고, 분할존속회사의 명칭을 ""에이치디씨(주)""로 상호를 변경하여, 2018년 06월 12일 유가증권시장에 변경상장 하였음. 투자, 브랜드수수료, 경영자문수수료, 배당수익, 임대수익 등 지주회사 사업을 영위하고 있음. 건설부문에 HDC현대산업개발(건설 및 부동산 개발운영 등을 영위), HDC아이앤콘스, HDC랩스 가 있음."
46,039570,"동사는 홈서비스, 스마트빌딩(IBS), SOC, M&E, 리얼티, 인테리어/조경의 6개 사업부문을 영위하고 있음. 현재 포스코건설 외 15개 종합건설사의 주 협력회사로 등록되어 대형 건설사를 위주로 수주 기회를 확대하는 등 경쟁력을 강화하고 있음. 스마트홈 산업은 사물인터넷과의 접목이 가장 용이한 산업으로 향후 사물인터넷 시장의 성장에 따라 스마트홈 시장의 성장 또한 더욱더 가속화를 보일 것으로 예상됨."
47,089470,"동사는 2000년 1월 설립되어 2006년 7월 유가증권시장에 상장됨. 석유화학 산업으로부터 PP, PE 등의 주요 원료를 조달하여 자동차, 전기/전자, 소비재 및 건설 산업용 용도에 특화되어 있는 플라스틱 소재를 생산, 공급하는 사업을 영위중임. 2010년 4월부터 SM 등의 원료를 조달하여 전기/전자, 소비재 및 건설 산업용으로 사용되는범용 플라스틱 소재(PS, EPS)를 생산, 공급하는 PS사업부문을 신규로 운영중임."
48,294870,"동사는 현대산업개발의 사업 중 건설사업, PC사업업, 호텔 및 콘도 사업부문을 인적분할의 방식으로 분할하여 2018년 5월 설립되었음. 종합건설회사인 동사는 도급방식의 건설공사를 수행하고 있을 뿐만 아니라 수익성을 제고시킬 수 있는 개발형 건설 사업까지 아우름. 사업부문은 건설부문(자체공사, 외주주택, 일반건축, 토목 등)와 기타부문(PC사업, 호텔 및 콘도, 주거용건물 개발, 공급)으로 구성됨."
49,009540,"동사는 독점규제 및 공정거래에 관한 법률에 따라 설립된 지주회사로서, 지배기업인 동사와 종속기업 19개사로 이루어짐. 조선사업은 일반상선, 고부가가치 가스선 등의 건조와 수소·암모니아 추진운반선을 개발하고 있으며, 해양플랜트사업은 원유 생산·저장설비 공사를 수행함. 엔진기계 부문에서는 중·대형 엔진, 육상용 엔진발전 설비 등을 공급하고 있으며, 그린에너지 사업부문에서는 태양광 셀, 모듈 등의 제품을 취급하고 있음."
50,267250,"동사(舊 현대중공업지주㈜)는 2017년 4월 HD한국조선해양㈜(舊 현대중공업㈜)의 인적분할로 출범한 지주회사임. 영업수익은 자회사 등으로부터의 배당수익, 상표권 사용수익, 임대수익 등으로 구성됨. 조선사업, 해양플랜트사업, 엔진기계사업, 그린에너지사업 및 선박ㆍ엔진의 A/S사업, 정유사업, 건설기계 제조사업, 전기전자기기 제조사업, 산업용 로봇 제조업 등을 영위하는 자회사를 소유함."
51,267270,"동사는 인적분할하여 설립된 신설회사로 2017년 5월 재상장하였으며, 분할 전 회사인 현대중공업의 건설장비사업부문을 영위하고 있음. 건설기계 산업의 시장침체가 새로운 성장 사이클에 접어들면서 현지화 모델, 전략적 제휴 등을 통한 신흥시장, 주력시장에서의 판매확대를 추진하고 있음. 19년 분사하였던 현대코어모션은 2021년 10월 1일부로 현대건설기계와 합병하였음."
52,443060,"동사는 2016년 11월 28일 현대중공업㈜의 조선, 엔진, 전기전자 사업부의 AS사업을 양수하는 현물출자에 의하여 설립되었음. 주요 사업으로는 선박부품/서비스의 공급, HD현대그룹 건조 선박의 유/무상보증 대행으로 구성되는 'AM(After Market) 솔루션', 인도 선박 출항유 공급 및 운항 연료 제공 서비스를 제공함. AM솔루션 외에도 벙커링, 친환경개조, SDV 등의 서비스를 제공함."
53,071970,"동사는 2001년 STX에서 소재사업부문이 분사하여 설립되었음. 2023년 7월 HD한국조선해양이 동사의 지분을 인수하여 최대주주가 됨에 따라 현재의 상호로 변경함 디젤엔진, LNG가스엔진(이중연료), LPG가스엔진(이중연료)을 생산하고 있으며, 글로벌 시장에서 선박용 저속엔진의 주요 메이커로서 자리하고 있음. 선박엔진의 핵심 부품인 2-ST크랭크샤프트(종속회사)와 터보자처를 자체생산을 하고, 주요 부품을 조달하여 판매함."
54,010620,"동사는 2024년 3월 HD현대그룹과의 사업을 기업정체성 일치 등 사업확장을 목표로 HD현대미포로 사명 변경하였음. LPG/에틸렌 운반선, 자동차 운반선, 컨-로선(CON-RO), 냉동 컨테이너선, 아스팔트 운반선, 해양작업 지원선(PSV), 카페리(ROPAX) 등 고부가가치 특수 선박 시장에도 진출함. 석유화학제품 운반선과 중형 컨테이너 운반선 등을 중심으로 시장지배력을 확장함."
55,322000,"동사는 태양광 모듈 판매를 주력 사업으로 영위하고 있으며, 태양광 모듈 판매 비중이 전체 매출액의 90%를 상회함. 동사는 해외 Top-tier 태양광 셀/모듈 제조업체와의 파트너십을 통해 추가적인 공급능력 확보 및 생산 유연성을 증대시키고 있음. 동사는 음성공장 내 PV R&D Center및 분당사무소에서 연구활동을 수행하면서  태양광 셀/모듈 제품 및 시스템 제품의 효율, 출력 향상 및 신뢰성 개선 기술 개발에 주력하고 있음."
56,042670,"1937년 조선기계제작소로 설립. 한국기계공업('63), 대우중공업('76), 대우종합기계('00), 두산인프라코어('05)를 거쳐 2021년 7월 분할합병을 이후 현재의 사명으로 변경함. 건설기계 부문에서 굴착기, 휠로더 등을, 엔진 부문에서 엔진, 발전기, A/S 부품 등의 제품을 판매 중임. 건설기계 부문은  북미와 유럽 등 선진 시장에서는 채널 역량과 제품 경쟁력 강화 및 관리체계 효율화를 통해 성장을 추진하고 있음."
57,267260,"동사는 2017년 4월 1일에 현대중공업으로부터 인적분할 후 전기전자기기 및 에너지솔루션 전문기업으로 독립 출범함 2022년 4월 신재생에너지용 전력변환기기 강소기업인 HD현대플라스포를 인수하여 전력변환 시장 공략을 위한 교두보를 확보함. 동사의 제품들은 제품들은 전력변압기, 고압차단기 등 전력기기와 배전반, 중저압차단기 등 배전기기, 동에너지를 발생시키는 전동기를 포함하는 회전기기 등으로 크게 구분됨."
58,329180,"동사는 선박과 해양구조물, 플랜트 및 엔진 등의 제조, 판매를 주 사업목적으로 2019년 6월 한국조선해양 주식회사에서 물적분할되어 신규 설립됨. 조선사업이 약 73% 정도로 가장 높은 매출비중을 차지하고 있으며 일반상선, 고부가가치 가스선, 해양관련 선박, 최신예 함정등을 건조함. 해양플랜트사업은 원유 생산·저장설비 공사, 발전·화공플랜트공사를 수행하며, 엔진기계사업은 대형엔진, 힘센엔진, 육상용 엔진발전설비 등을 공급함."
59,097230,"동사는 (주)한진중공업홀딩스(구. (주)한진중공업)로부터 인적분할방식으로 분할 설립되었으며, 2007년 8월 31일에 유가증권시장에 상장되었음. 지배회사인 동사는 방산 및 특수선, 신조선 및 기타 분야 등의 조선업과 토목, 건축/주택 ,플랜트 등 건설업을 주요사업으로 영위하는 회사입. 건축사업은 공항, 철도역사, 터미널과 같은 여객시설, 오피스, 물류시설, 전시 및 관람시설 등에 특화되어 있음."
60,014790,"동사의 건설사업부문은 아파트/오피스텔/주상복합/지식산업센터/물류센터 등 주택 및 건축분야, 항만/공항/도로/철도 등 토목분야 등이 있음. 기타 사업부문으로는 물류단지 운영 및 임대, 항만/해상운송업, 폐기물/수처리분야 설계,시공,운영 등의 영업을 영위하고 있음. 2024년 3분기 기준 동사의 전체 매출액 중 건축이 차지하는 비율이 약 58.7% 이며 지배회사와 종속회사의 성장을 바탕으로 신성장동력 확보에 노력."
61,003580,"동사 및 연결대상 종속회사가 영위하는 사업은 현재 자원환경, 리테일, 바이오 3개 사업부문으로 구성되어 있음. 자원환경사업부문은 골재채취업을 주 사업으로 영위하고 있으며, 옹진, 서해 EEZ에서 특수선박을 이용하여 해사를 채취, 세척 후 국내 레미콘 업체 등에게 공급하고 있음. 리테일사업 부문은 식품 및 음료, 화장품 사업으로 나뉘며 발효유 및 아이스크림, 제과제빵용 잼시럽과 건강발효음료인 콤부차를 제조, 유통 중."
62,204320,"동사는 2014년 한라홀딩스의 자동차부품 제조ㆍ판매업 부문이 인적분할되어 설립되었으며, 2022년 9월 5일 임시주주총회를 통해 사명이 만도에서 HL만도로 변경됨. 차량의 제동, 조향, 현가 장치 등 운전자의 안전과 편의에 관련된 제품을 개발 및 생산하는 자동차 부품업체임. 사업구조 안정화를 위하여 현대/기아차 뿐 아니라 GM, Ford, 중국 로컬 OEM, 유럽 및 인도 완성차까지 고객다변화를 진행 중임."
63,060980,"2014년 9월 동사와 만도로 인적분할하여 지주회사로 전환하고, 2015년 7월 종속회사인 한라마이스터를 흡수합병하여 사업지주회사로 전환하였음. 자회사로부터 받는 배당수익, Halla 및 Mando 브랜드 권리에 대한 상표권 사용수익을 수취하며, 그룹 IT 센터의 제품 판매와 자동차 부품 판매, 유통사업을 영위함. 2015년 계열회사인 한라로부터 그룹IT센터를 영업 양수하고, 2016년 한라아이앤씨를 흡수합병함."
64,011200,"종합해운물류기업으로, 일반화물과 냉동화물, 특수화물 등 컨테이너로 운반 가능한 모든 화물, 원자재와 원유, 플랜트 등 벌크화물까지 상품 특성에 맞는 물류 서비스를 제공함. 소형선부터 초대형 컨테이너선, VLCC를 포함한 선대와 전세계를 연결하는 항로망을 바탕으로 최적화된 물류솔루션을 보유함. 다각화된 사업 영역을 영위하며, 특정 분야의 시황 변동에도 안정적인 수익을 창출할 수 있는 사업 구조를 확보하고 있음."
65,035000,"동사는 1984년 5월 설립되었고, 2004년 8월 경영자문부문인 지투알, 광고사업부문인 엘지애드로 분할되었음. 2023년 7월 주요 자회사인 주식회사 에이치에스애드와 주식회사 엘베스트를 흡수합병함에 따라, 소멸된 종속회사가 영위하고 있던 광고업으로 주요 사업이 변경되었음. 광고 및 마케팅 관련 자회사들로부터 발생하는 경영관리용역수익과 배당수익등을 영업수익의 원천으로 하고 있으며, 정관상 지주회사업을 주된 사업목적으로 하고 있음."
66,002460,"동사는 1958년 9월 1일에 대구/경북지역 기반 토목건설업체로 설립되었으며, 1988년 9월 29일 한국거래소 유가증권시장에 상장함. 2본부(건축주택사/토목환경 사업본부), 9팀(사업개발팀, 건축견적팀, 업무팀, 토목영업팀, 환경영업팀, ENG사업팀, 정비사업팀, 마케팅팀, 기술개발팀), 1공장(PC철구공장)으로 구성됨. 2024년도 종합시공능력평가액은 9,388억원으로, 전국 건설업체 중 시공능력평가 순위 47위를 기록함."
67,487570,"동사는 사업회사들의 시너지를 강화하기 위해 Mobility, 친환경 소재 등 다양한 신사업과 M&A 기회를 찾기 위해 분할상장함. 지주회사로서 자회사의 지분관리 및 투자를 주요사업으로 하며, 무역사업, 산업자재, 운송주선사업, 수입차딜러 등을 영위하고 있음. 과학, 기술 및 집단 지성의 힘을 활용하여 인류를 풍요롭게 하는 가치를 창출하는 기업이 되고자 하고 있음."
